epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3448.89,0.94981,0.73456,1.17985,0.83198,0.6124,0.73023,0.49486,1.16477,1.2904,1.35601,0.0011882,0.0011882,0.0011882
43,3557.83,0.97958,0.75558,1.18539,0.84804,0.62016,0.77323,0.5063,1.17379,1.11741,1.41522,0.0011684,0.0011684,0.0011684
44,3707.47,0.98621,0.77506,1.17767,0.84219,0.66193,0.77912,0.51775,1.17871,1.13045,1.38508,0.0011486,0.0011486,0.0011486
45,3791,0.96722,0.73171,1.17831,0.82494,0.72093,0.79192,0.53785,1.06238,0.98177,1.23695,0.0011288,0.0011288,0.0011288
46,3871.74,0.9975,0.7755,1.15331,0.74244,0.68217,0.76802,0.5385,1.07469,1.07983,1.2168,0.001109,0.001109,0.001109
47,3950.83,0.96472,0.73324,1.18448,0.75002,0.69776,0.74864,0.49022,1.21367,1.12629,1.31109,0.0010892,0.0010892,0.0010892
48,4027.19,0.98869,0.72449,1.19033,0.73836,0.5969,0.64796,0.43082,1.29611,1.6461,1.40899,0.0010694,0.0010694,0.0010694
49,4101.45,0.97063,0.72618,1.15014,0.81714,0.68992,0.76403,0.51829,1.20448,1.21268,1.33058,0.0010496,0.0010496,0.0010496
50,4175.22,0.98973,0.76081,1.17966,0.89119,0.69842,0.79897,0.55715,1.0617,1.07792,1.25843,0.0010298,0.0010298,0.0010298
51,4249.63,0.96893,0.735,1.17597,0.88648,0.72868,0.82104,0.56101,1.0863,1.03991,1.26264,0.00101,0.00101,0.00101
52,4323.3,0.87814,0.69906,1.12644,0.87326,0.78295,0.85334,0.58528,1.05242,0.85417,1.25667,0.0009902,0.0009902,0.0009902
53,4402.08,0.88053,0.67099,1.11869,0.86846,0.75969,0.84518,0.5673,1.11736,0.92648,1.34278,0.0009704,0.0009704,0.0009704
54,4481.25,0.96001,0.70031,1.14867,0.87629,0.68217,0.81159,0.55919,1.00881,1.01029,1.20928,0.0009506,0.0009506,0.0009506
55,4560.78,0.90756,0.72616,1.16464,0.8755,0.67442,0.79984,0.57221,0.97586,0.99156,1.16895,0.0009308,0.0009308,0.0009308
56,4640.02,0.89882,0.67334,1.11668,0.77949,0.73989,0.78968,0.57462,1.00067,1.02289,1.22294,0.000911,0.000911,0.000911
57,4719.59,0.89359,0.67596,1.12384,0.79815,0.71318,0.78979,0.56562,1.00376,0.98721,1.20433,0.0008912,0.0008912,0.0008912
58,4798.92,0.88721,0.67166,1.14002,0.82307,0.72124,0.77753,0.54692,1.02764,0.99817,1.24225,0.0008714,0.0008714,0.0008714
59,4879.22,0.96351,0.69349,1.13345,0.79871,0.76901,0.80415,0.56028,1.06241,1.08187,1.23505,0.0008516,0.0008516,0.0008516
60,4958.38,0.89796,0.63584,1.09993,0.76086,0.7646,0.79668,0.53708,1.10533,1.15616,1.2805,0.0008318,0.0008318,0.0008318
61,5036.77,0.87992,0.65812,1.10638,0.81318,0.74419,0.8049,0.56122,1.0298,1.03207,1.22938,0.000812,0.000812,0.000812
62,5115.32,0.87474,0.65001,1.13647,0.84838,0.69402,0.77821,0.54405,1.09046,1.02853,1.25576,0.0007922,0.0007922,0.0007922
63,5195.3,0.82642,0.62801,1.08902,0.75152,0.78295,0.81692,0.58914,1.01105,0.98328,1.21067,0.0007724,0.0007724,0.0007724
64,5276.17,0.85105,0.61101,1.0868,0.75573,0.7907,0.82125,0.57229,1.03172,0.96585,1.18874,0.0007526,0.0007526,0.0007526
65,5356.1,0.90709,0.65228,1.13896,0.83664,0.69767,0.81635,0.56617,1.07081,0.91955,1.23251,0.0007328,0.0007328,0.0007328
66,5435.87,0.82186,0.62507,1.09544,0.82424,0.72707,0.80852,0.55928,1.11847,1.04265,1.25822,0.000713,0.000713,0.000713
67,5515.52,0.8688,0.64063,1.09595,0.78077,0.71318,0.79566,0.5817,1.05999,1.0197,1.23033,0.0006932,0.0006932,0.0006932
68,5594.72,0.84434,0.6138,1.11088,0.84296,0.71318,0.80671,0.59958,1.01204,0.90744,1.18559,0.0006734,0.0006734,0.0006734
69,5673.75,0.80042,0.59805,1.07326,0.81644,0.78295,0.84078,0.58822,1.06232,0.88093,1.20144,0.0006536,0.0006536,0.0006536
70,5753.61,0.82691,0.60825,1.08896,0.808,0.78297,0.83201,0.59102,1.01422,0.93291,1.20661,0.0006338,0.0006338,0.0006338
71,5833.22,0.78614,0.57711,1.06913,0.85275,0.73643,0.80417,0.56412,1.0939,0.93493,1.29481,0.000614,0.000614,0.000614
72,5914.33,0.7978,0.58625,1.06862,0.84436,0.72868,0.78431,0.54992,1.12393,0.96846,1.32485,0.0005942,0.0005942,0.0005942
73,5993.03,0.79244,0.57543,1.07391,0.85977,0.68217,0.78829,0.55052,1.19453,0.92184,1.38349,0.0005744,0.0005744,0.0005744
74,6073.41,0.78094,0.54681,1.03938,0.80427,0.73263,0.82115,0.57344,1.05014,0.92898,1.23231,0.0005546,0.0005546,0.0005546
75,6152.85,0.76843,0.56148,1.0822,0.87418,0.67442,0.81048,0.57392,1.03808,0.92873,1.20379,0.0005348,0.0005348,0.0005348
76,6232.5,0.78366,0.57537,1.07729,0.88107,0.68217,0.79471,0.57456,1.00494,0.96103,1.19574,0.000515,0.000515,0.000515
77,6311.06,0.82261,0.57561,1.07626,0.85442,0.72794,0.81768,0.58995,0.97428,0.94018,1.15854,0.0004952,0.0004952,0.0004952
78,6389.64,0.77972,0.5591,1.07236,0.84022,0.73376,0.80106,0.58298,0.94912,0.95878,1.13069,0.0004754,0.0004754,0.0004754
79,6469.19,0.787,0.55171,1.04895,0.78613,0.73643,0.78516,0.56484,0.99058,1.05144,1.16661,0.0004556,0.0004556,0.0004556
80,6549.78,0.76677,0.53072,1.07658,0.78801,0.72868,0.79786,0.5641,1.00278,1.04336,1.1735,0.0004358,0.0004358,0.0004358
81,6629.86,0.77605,0.60578,1.08924,0.78121,0.74733,0.78808,0.56851,1.00502,1.03305,1.18922,0.000416,0.000416,0.000416
82,6709.39,0.75704,0.55774,1.07377,0.77182,0.72093,0.76886,0.5697,1.00562,1.05613,1.16428,0.0003962,0.0003962,0.0003962
83,6787.87,0.74753,0.5321,1.04889,0.76698,0.73995,0.7745,0.55579,1.06457,1.08157,1.21364,0.0003764,0.0003764,0.0003764
84,6866.63,0.68727,0.50563,1.03428,0.79745,0.74419,0.7988,0.57437,1.05115,0.99958,1.21927,0.0003566,0.0003566,0.0003566
85,6944.5,0.69948,0.49504,1.03681,0.87131,0.68233,0.81282,0.60104,0.99229,0.9304,1.17251,0.0003368,0.0003368,0.0003368
86,7022.83,0.73195,0.51525,1.02503,0.90519,0.66609,0.80195,0.602,0.98683,0.94509,1.15464,0.000317,0.000317,0.000317
87,7101.93,0.71043,0.51544,1.02087,0.86816,0.68217,0.80329,0.58499,0.98897,0.96953,1.16095,0.0002972,0.0002972,0.0002972
88,7180.09,0.74228,0.51688,1.01956,0.83771,0.70543,0.80894,0.58046,0.99422,0.92986,1.15101,0.0002774,0.0002774,0.0002774
89,7258.43,0.73213,0.49812,1.02347,0.8168,0.7258,0.81202,0.58735,0.9818,0.91712,1.14526,0.0002576,0.0002576,0.0002576
90,7336.52,0.69632,0.5363,1.0518,0.83631,0.72093,0.80878,0.59162,0.97274,0.94223,1.1514,0.0002378,0.0002378,0.0002378
91,7414.44,0.72024,0.5435,1.02207,0.8603,0.72093,0.7993,0.58547,0.98986,0.93115,1.17968,0.000218,0.000218,0.000218
92,7492.22,0.69186,0.46181,1.01818,0.83326,0.69767,0.78334,0.57661,0.99088,0.94268,1.18701,0.0001982,0.0001982,0.0001982
93,7570.72,0.66404,0.45381,0.99035,0.85646,0.69381,0.78652,0.57433,0.96721,0.93377,1.1696,0.0001784,0.0001784,0.0001784
94,7648.56,0.68195,0.46039,0.98469,0.85155,0.71148,0.79815,0.58735,0.95508,0.89978,1.15651,0.0001586,0.0001586,0.0001586
95,7727.45,0.68519,0.44795,0.98503,0.84073,0.72868,0.819,0.5921,0.94942,0.89679,1.15147,0.0001388,0.0001388,0.0001388
96,7807.5,0.68028,0.45487,0.99383,0.81009,0.72868,0.81267,0.59546,0.96572,0.90768,1.1673,0.000119,0.000119,0.000119
97,7886.82,0.65028,0.43738,0.97833,0.75473,0.76333,0.8094,0.58566,0.97044,0.91417,1.17513,9.92e-05,9.92e-05,9.92e-05
98,7965.94,0.62304,0.40336,0.96418,0.75931,0.7907,0.81234,0.58197,0.97848,0.92172,1.18692,7.94e-05,7.94e-05,7.94e-05
99,8045.94,0.61821,0.39978,0.95641,0.76782,0.78295,0.81139,0.58045,0.98276,0.91882,1.19262,5.96e-05,5.96e-05,5.96e-05
100,8129.92,0.63203,0.41809,0.9775,0.76094,0.78295,0.80888,0.57955,0.97933,0.91523,1.1884,3.98e-05,3.98e-05,3.98e-05
